"Ativo","Data","roic","roe","roa","margem_liquida","margem_ebit","divida_liquida_ebitda","receita_liquida","ebit","deprec","deprec2","deprec3","deprec4","lucro_liquido","ativo_total","passivo_circulante","total_emprestimos_e_financiamentos","caixa_e_equivalentes","aplicacoes_financeiras","patrimonio_liquido","participacao_nao_controladora_acionistas","total_emprestimos_e_financiamentos_lp","capital_investido","ebitda","divida_bruta","divida_liquida"
"WEGE3<XBSP>","2T1992",-11.350535304,-15.558638545,-11.74399752,-15.479124559,-19.246744557,"-",139.9547744,-26.936737923,"-","-","-","-",-20.727085086,184.46677818,29624.805091,6.9500592727,"-","-",137.47404982,1.7654716364,11.912318545,156.62915055,"-",18.862377818,13699.496
"WEGE3<XBSP>","3T1992",-12.460228984,-16.836805509,-12.405453615,-17.270792134,-20.582704691,"-",252.92930282,-52.059691477,"-","-","-","-",-41.795132941,352.12653636,64954.534909,11.001895636,"-","-",256.04893564,3.3998898182,20.833706545,275.75252764,"-",31.835602182,9414.2327273
"WEGE3<XBSP>","4T1992",-3.456682039,-0.68060820027,-0.5403788528,-0.66641598183,-5.4197278096,0.47775156634,556.14343418,-30.141460364,90.200201091,"-","-","-",-3.9132018182,685.85746982,98235.099273,17.372257455,"-","-",537.23898073,7.3076065455,40.810936727,575.50459127,60.058740727,58.183194182,28693.157455
"WEGE3<XBSP>","1T1993",-3.786397811,7.8530949278,6.0778468087,7.8837535127,-5.9380026862,"-",1147.6587091,-68.148004974,"-","-","-","-",88.474682876,1488.6618015,251706.34545,33.246668,"-","-",1136.4076811,15.731502545,80.131462909,1187.8752716,"-",113.3781309,31051.278545
"WEGE3<XBSP>","2T1993",-6.64907148,11.16856718,8.633780069,10.49355607,-9.1588007105,"-",2661.0224388,-243.71774203,"-","-","-","-",272.93513703,3234.2250953,573515.21964,110.85199418,"-","-",2465.3546309,34.839683636,153.75695855,2419.1905625,"-",264.60895273,-87762.354545
"WEGE3<XBSP>","3T1993",-10.798516349,12.823314328,9.9531473034,10.837733339,-12.407997463,"-",6862.1313054,-851.45307831,"-","-","-","-",737.72504242,7472.0032727,1462011.2727,218.45854545,"-","-",5751.0258182,48.562909091,185.36618182,5204.0392727,"-",403.82472727,-620586.54545
"WEGE3<XBSP>","4T1993",-9.0940852647,12.984523235,10.118960756,15.361628574,-13.962026609,"-",12798.34,-1786.9076364,"-","-","-","-",1946.176,19429.203273,3860066.5455,991.43745455,"-","-",15018.880363,122.48,411.94727273,12968.418545,"-",1403.3847273,-2188770.9091
"WEGE3<XBSP>","1T1994",-3.6979730053,13.316035476,10.276703318,14.905937525,-5.3040099077,"-",39583.104385,-2099.4917783,"-","-","-","-",5851.1365362,57413.672727,11823791.636,3697.2330909,"-","-",43946.051636,363.17854545,998.50181818,37470.921818,"-",4695.7349091,-7120457.4546
"WEGE3<XBSP>","2T1994",6.9104713615,19.148937272,14.328599584,18.727819508,8.4443965924,"-",143140.9219,12087.387131,"-","-","-","-",26668.710952,187088.58,43433396,17727.705091,"-","-",138749.308,1243.7010909,2812.0589091,115443.29018,"-",20539.764,-25399834.909
"WEGE3<XBSP>","3T1994",17.023917207,23.996979456,19.004971918,19.772772038,17.169115858,"-",204938.67171,35186.157983,"-","-","-","-",40109.466545,213218.186,40064250,3920.756,"-","-",167305.039,1558.115,2795.87,136413.165,"-",6716.626,-33944901
